                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1473,                  4.816,                 4.1337,                0.00098,                0.40721,                0.00337,                0.00089,                 2.7773,                 4.9756,                 4.0987,             0.00054304,             0.00054304,             0.00054304
                      1,                 2.9613,                 4.4224,                 3.6639,                0.00125,                0.42685,                0.00238,                0.00076,                 2.6815,                 4.8526,                 3.8801,              0.0010915,              0.0010915,              0.0010915
                      2,                 2.6933,                 3.9188,                 3.1645,                0.11324,                0.08321,                0.02899,                0.00861,                 2.4821,                 4.6356,                   3.43,              0.0016325,              0.0016325,              0.0016325
                      3,                 2.5698,                  3.509,                 2.8934,                0.07536,                 0.2793,                0.04613,                0.01837,                 2.1604,                 18.998,                  2.534,               0.001634,               0.001634,               0.001634
                      4,                 2.3941,                 3.1795,                 2.7226,                0.16756,                0.17736,                 0.1425,                0.06712,                 1.9472,                 3.1942,                 2.4558,               0.001634,               0.001634,               0.001634
                      5,                 2.2464,                 2.8753,                 2.6396,                0.39359,                0.42618,                0.35827,                0.17683,                  1.927,                 3.2624,                 2.4834,               0.001623,               0.001623,               0.001623
                      6,                 2.0952,                 2.6075,                  2.506,                0.35225,                0.47937,                0.38583,                 0.2069,                 1.7497,                 2.7058,                 2.2591,               0.001612,               0.001612,               0.001612
                      7,                 2.0364,                 2.4228,                 2.4373,                0.45976,                0.54424,                0.44061,                0.25009,                 1.7328,                 2.3161,                 2.2481,               0.001601,               0.001601,               0.001601
                      8,                  1.934,                 2.2323,                 2.3754,                0.57257,                0.59189,                0.59064,                0.33827,                 1.6175,                 2.0751,                 2.1468,                0.00159,                0.00159,                0.00159
                      9,                 1.8381,                 2.0921,                 2.2072,                0.58293,                0.60444,                0.66841,                0.38856,                 1.5509,                 1.8129,                 2.0285,               0.001579,               0.001579,               0.001579
                     10,                 1.7964,                 1.9246,                 2.2094,                0.78291,                0.54455,                0.73613,                0.44798,                 1.4405,                 2.1724,                 1.9695,               0.001568,               0.001568,               0.001568
                     11,                  1.701,                 1.8068,                 2.1058,                0.75108,                0.61715,                0.81185,                0.48835,                 1.4449,                 1.8842,                  1.979,               0.001557,               0.001557,               0.001557
                     12,                 1.6315,                 1.6763,                 2.0385,                0.79116,                0.67931,                0.78218,                0.48369,                 1.4006,                 1.5807,                 1.8895,               0.001546,               0.001546,               0.001546
                     13,                 1.5802,                 1.5407,                 1.9876,                0.87873,                0.79253,                0.88522,                0.56634,                 1.3469,                 1.1885,                 1.8472,               0.001535,               0.001535,               0.001535
                     14,                 1.5434,                 1.4804,                 1.9404,                0.80404,                0.78501,                0.87437,                0.54905,                  1.301,                 1.2762,                 1.7771,               0.001524,               0.001524,               0.001524
                     15,                 1.5239,                 1.4338,                 1.8776,                0.88545,                0.80245,                0.91355,                0.59292,                 1.2815,                 1.2256,                 1.7521,               0.001513,               0.001513,               0.001513
                     16,                 1.5227,                 1.4624,                 1.8983,                0.89782,                0.82266,                 0.9025,                0.59401,                 1.2806,                 1.0578,                 1.7495,               0.001502,               0.001502,               0.001502
                     17,                 1.4627,                 1.3842,                 1.8338,                0.74899,                0.69028,                0.81403,                0.48585,                 1.3827,                 1.4671,                 1.8148,               0.001491,               0.001491,               0.001491
                     18,                 1.4451,                 1.3223,                 1.7676,                0.83879,                0.82414,                 0.9119,                0.59804,                 1.2787,                 1.0718,                 1.6818,                0.00148,                0.00148,                0.00148
                     19,                 1.4057,                 1.2182,                 1.7426,                0.84984,                0.85947,                0.93781,                0.62398,                  1.234,                 1.3609,                   1.64,               0.001469,               0.001469,               0.001469
                     20,                 1.3816,                 1.2841,                 1.7339,                0.90547,                0.88174,                0.95457,                0.65728,                  1.132,                0.96035,                 1.5581,               0.001458,               0.001458,               0.001458
                     21,                 1.3569,                 1.1658,                 1.6817,                0.88221,                 0.8549,                0.94814,                0.60001,                 1.2999,                 1.0382,                 1.6608,               0.001447,               0.001447,               0.001447
                     22,                  1.359,                 1.2083,                 1.7015,                0.91695,                0.90032,                0.95837,                0.65575,                 1.1457,                 1.1341,                 1.5695,               0.001436,               0.001436,               0.001436
                     23,                 1.3617,                 1.2028,                 1.6861,                0.93183,                 0.9078,                0.95715,                0.66827,                  1.128,                0.88955,                 1.4904,               0.001425,               0.001425,               0.001425
                     24,                 1.3341,                 1.1365,                 1.6504,                0.89632,                0.91648,                 0.9629,                0.67207,                  1.094,                0.85826,                 1.4728,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.3426,                 1.1018,                 1.6488,                0.93391,                0.88089,                0.96405,                0.67435,                 1.1278,                0.84281,                 1.5238,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.3084,                 1.0836,                 1.5956,                0.80664,                0.88686,                0.94773,                 0.6323,                 1.1832,                0.99956,                 1.5274,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.3234,                 1.0814,                 1.6217,                0.88145,                0.89721,                0.95289,                0.65787,                 1.1102,                0.90215,                 1.4974,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.3017,                 1.0657,                 1.6262,                0.93155,                0.95465,                0.98175,                0.70607,                 1.0548,                0.82557,                 1.4228,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.2999,                 1.0802,                 1.6332,                 0.9038,                0.86884,                0.94383,                 0.6247,                 1.2438,                0.97415,                 1.6261,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.2562,                 1.0447,                 1.5702,                0.92798,                0.90574,                0.96606,                0.67978,                 1.0747,                0.98737,                 1.4678,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.2871,                 1.0588,                 1.5967,                0.90645,                0.90071,                0.97208,                0.69568,                 1.0578,                0.84091,                  1.466,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.2582,                0.99873,                 1.5765,                0.95141,                0.95078,                0.98644,                0.72268,                 1.0231,                0.75409,                 1.3883,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.2714,                 1.0244,                 1.5942,                0.92863,                0.94149,                0.97329,                0.70165,                 1.0238,                 0.8179,                 1.4116,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.2327,                0.99556,                 1.5528,                0.96596,                0.94532,                0.98321,                0.65846,                  1.207,                0.76805,                 1.4689,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.2473,                0.95807,                 1.5472,                0.96443,                0.96349,                0.98666,                 0.7024,                 1.0126,                0.75346,                 1.4078,              0.0012929,              0.0012929,              0.0012929
